,EntryNo_,ItemLedgerEntryNo_,Inbound,Outbound,Quantity,TrfFrom,ILEInbound,OutboundTrf,PostingDate,Link_In,Link_Out
1526,4876366,4864137,4821268,4864137,-1.00000000000000000000,0,4864137|4821268,4864137|0,2021-06-04,NA,4821268
1527,4876376,4864147,4821268,4864147,-1.00000000000000000000,0,4864147|4821268,4864147|0,2021-06-04,NA,4821268
1528,4876421,4864192,4864192,4864191,1.00000000000000000000,4821268,4864192|4864192,4864191|4821268,2021-06-04,4864191|4821268,-1
1529,4877090,4864859,1875163,4864859,-1.00000000000000000000,0,4864859|1875163,4864859|0,2021-06-04,NA,1875163
1530,4872565,4860339,4860339,4852022,1.00000000000000000000,0,4860339|4860339,4852022|0,2021-06-03,NA,4860339
1531,4872635,4860409,4850508,4860409,-1.00000000000000000000,0,4860409|4850508,4860409|0,2021-06-03,NA,4850508
1532,4872662,4860436,4850499,4860436,-1.00000000000000000000,0,4860436|4850499,4860436|0,2021-06-03,NA,4850499
1533,4872787,4860560,4860560,4860559,1.00000000000000000000,4802473,4860560|4860560,4860559|4802473,2021-06-03,4860559|4802473,-1
1534,4872888,4860661,4860661,4860660,1.00000000000000000000,4860020,4860661|4860661,4860660|4860020,2021-06-03,4860660|4860020,-1
1535,4873511,4861284,4827757,4861284,-1.00000000000000000000,0,4861284|4827757,4861284|0,2021-06-03,NA,4827757
1536,4873644,4861414,4861413,4861414,-1.00000000000000000000,0,4861414|4861413,4861414|0,2021-06-03,NA,4861413
1537,4874409,4862180,4861108,4862180,-1.00000000000000000000,0,4862180|4861108,4862180|0,2021-06-03,NA,4861108
1538,4874642,4862413,4862413,4862412,1.00000000000000000000,4862411,4862413|4862413,4862412|4862411,2021-06-03,4862412|4862411,-1
1539,4874977,4862748,4862737,4862748,-1.00000000000000000000,0,4862748|4862737,4862748|0,2021-06-04,NA,4862737
1540,4875207,4862978,4862978,4862977,1.00000000000000000000,4861271,4862978|4862978,4862977|4861271,2021-06-04,4862977|4861271,-1
1541,4875486,4863257,4863256,4863257,-1.00000000000000000000,0,4863257|4863256,4863257|0,2021-06-04,NA,4863256
1542,4875523,4863294,4857565,4863294,-15.00000000000000000000,0,4863294|4857565,4863294|0,2021-06-04,NA,4857565
1543,4875599,4863370,4863369,4863370,-1.00000000000000000000,0,4863370|4863369,4863370|0,2021-06-04,NA,4863369
1544,4875731,4863502,4863502,4863501,1.00000000000000000000,4617409,4863502|4863502,4863501|4617409,2021-06-04,4863501|4617409,-1
1545,4875744,4863515,4862340,4863515,-1.00000000000000000000,0,4863515|4862340,4863515|0,2021-06-04,NA,4862340
1546,4876883,4864654,4864479,4864654,-1.00000000000000000000,0,4864654|4864479,4864654|0,2021-06-04,NA,4864479
1547,4876920,4864691,4864691,4864690,1.00000000000000000000,4864689,4864691|4864691,4864690|4864689,2021-06-04,4864690|4864689,-1
1548,4876924,4864695,4830527,4864695,-1.00000000000000000000,0,4864695|4830527,4864695|0,2021-06-04,NA,4830527
1549,4877282,4865051,4865050,4865051,-1.00000000000000000000,0,4865051|4865050,4865051|0,2021-06-04,NA,4865050
1550,4873899,4861670,4861670,4861669,1.00000000000000000000,4861666,4861670|4861670,4861669|4861666,2021-06-03,4861669|4861666,-1
1551,4874245,4862016,4861858,4862016,-1.00000000000000000000,0,4862016|4861858,4862016|0,2021-06-03,NA,4861858
1552,4874330,4862101,4862101,4862100,1.00000000000000000000,4666835,4862101|4862101,4862100|4666835,2021-06-03,4862100|4666835,-1
1553,4874486,4862257,4834261,4862257,-1.00000000000000000000,0,4862257|4834261,4862257|0,2021-06-03,NA,4834261
1554,4875015,4862786,4862772,4862786,-1.00000000000000000000,0,4862786|4862772,4862786|0,2021-06-04,NA,4862772
1555,4875399,4863170,4863170,4863169,1.00000000000000000000,4666827,4863170|4863170,4863169|4666827,2021-06-04,4863169|4666827,-1
1556,4875456,4863227,4863197,4863227,-1.00000000000000000000,0,4863227|4863197,4863227|0,2021-06-04,NA,4863197
1557,4875518,4863289,4863287,4863289,-1.00000000000000000000,0,4863289|4863287,4863289|0,2021-06-04,NA,4863287
1558,4875528,4863299,4863299,4863298,1.00000000000000000000,4857561,4863299|4863299,4863298|4857561,2021-06-04,4863298|4857561,-1
1559,4875716,4863487,4617417,4863487,-1.00000000000000000000,0,4863487|4617417,4863487|0,2021-06-04,NA,4617417
1560,4875720,4863491,4617404,4863491,-1.00000000000000000000,0,4863491|4617404,4863491|0,2021-06-04,NA,4617404
1561,4875853,4863624,4863619,4863624,-1.00000000000000000000,0,4863624|4863619,4863624|0,2021-06-04,NA,4863619
1562,4876472,4864243,4864162,4864243,-1.00000000000000000000,0,4864243|4864162,4864243|0,2021-06-04,NA,4864162
1563,4876843,4864614,4844182,4864614,-1.00000000000000000000,0,4864614|4844182,4864614|0,2021-06-04,NA,4844182
1564,4877109,4864878,4815069,4864878,-1.00000000000000000000,0,4864878|4815069,4864878|0,2021-06-04,NA,4815069
1565,4872579,4860353,4860353,4852036,1.00000000000000000000,0,4860353|4860353,4852036|0,2021-06-03,NA,4860353
1566,4872770,4860543,4501472,4860543,-1.00000000000000000000,0,4860543|4501472,4860543|0,2021-06-03,NA,4501472
1567,4873507,4861280,4827753,4861280,-1.00000000000000000000,0,4861280|4827753,4861280|0,2021-06-03,NA,4827753
1568,4873508,4861281,4827754,4861281,-1.00000000000000000000,0,4861281|4827754,4861281|0,2021-06-03,NA,4827754
1569,4873583,4861356,4861045,4861356,-1.00000000000000000000,0,4861356|4861045,4861356|0,2021-06-03,NA,4861045
1570,4873606,4861379,4826792,4861379,-5.00000000000000000000,0,4861379|4826792,4861379|0,2021-06-03,NA,4826792
1571,4874104,4861875,4861872,4861875,-1.00000000000000000000,0,4861875|4861872,4861875|0,2021-06-03,NA,4861872
1572,4874349,4862120,4831327,4862120,-1.00000000000000000000,0,4862120|4831327,4862120|0,2021-06-03,NA,4831327
1573,4874970,4862741,4862741,4862740,1.00000000000000000000,4679273,4862741|4862741,4862740|4679273,2021-06-04,4862740|4679273,-1
1574,4874989,4862760,4862759,4862760,-1.00000000000000000000,0,4862760|4862759,4862760|0,2021-06-04,NA,4862759
1575,4875147,4862918,4862918,4862917,1.00000000000000000000,4862896,4862918|4862918,4862917|4862896,2021-06-04,4862917|4862896,-1
1576,4875273,4863044,4863044,4863043,1.00000000000000000000,4861241,4863044|4863044,4863043|4861241,2021-06-04,4863043|4861241,-1
1577,4875382,4863153,4862190,4863153,-1.00000000000000000000,0,4863153|4862190,4863153|0,2021-06-04,NA,4862190
1578,4875510,4863281,4863281,4863280,1.00000000000000000000,4863277,4863281|4863281,4863280|4863277,2021-06-04,4863280|4863277,-1
